"participant","session","run","collisions","duration","distance","cumrun","fluency","absorption","flow","pi1","pi2","pi3","comp1","comp2","comp3"
"05",8,4,11,167.501624623772,24197.5199999989,39,5.5,6.6,6.11111111111111,7,6,5,NA,NA,NA
"05",8,5,10,165.727663708853,24196.5747999994,40,5.25,6.8,6.11111111111111,7,6,3,6,6,4
"06",1,1,24,254.883040038853,24197.3912000009,1,5.5,5.2,5.33333333333333,6,7,3,NA,NA,NA
"06",1,2,25,227.602131966181,24197.9796000017,2,5.25,5.6,5.44444444444444,6,6,3,NA,NA,NA
"06",1,3,16,197.998800945785,24197.1695999996,3,6.5,6.4,6.44444444444444,6,6,3,NA,NA,NA
"06",1,4,21,203.02741513851,24198.6235999995,4,4.5,5.6,5.11111111111111,6,6,4,NA,NA,NA
"06",1,5,26,195.231309455949,24196.8659999996,5,4.75,5.8,5.33333333333333,6,6,3,4,4,5
"06",2,1,15,181.980126380935,24199.0140000008,6,5.25,5.8,5.55555555555556,6,5,3,NA,NA,NA
"06",2,2,28,180.984721940487,24198.0916000005,7,3.5,4.8,4.22222222222222,5,5,3,NA,NA,NA
"06",2,3,19,216.383576232309,24197.090400001,8,3.25,2.6,2.88888888888889,5,5,3,NA,NA,NA
"06",2,4,24,194.316916847411,24197.7711999989,9,3.75,3.8,3.77777777777778,5,5,3,NA,NA,NA
"06",2,5,22,189.613281798571,24197.6175999997,10,4.75,4.2,4.44444444444444,5,5,4,5,4,5
"06",3,1,14,199.607419511191,24198.0415999994,11,5.5,5.2,5.33333333333333,5,5,3,NA,NA,NA
"06",3,2,24,190.30644188412,24198.6303999993,12,5,5.4,5.22222222222222,5,4,3,NA,NA,NA
"06",3,3,18,206.338697384705,24198.7547999992,13,5,5.2,5.11111111111111,5,3,3,NA,NA,NA
"06",3,4,19,202.643493555141,24196.8135999998,14,5.25,5.2,5.22222222222222,5,3,3,NA,NA,NA
"06",3,5,25,172.610005597865,24196.5987999998,15,6.25,6.6,6.44444444444444,6,3,3,3,5,4
"06",4,1,16,174.169439796487,24198.3176000004,16,5.5,5.4,5.44444444444444,6,3,3,NA,NA,NA
"06",4,2,20,182.189522384515,24198.7348,17,5.25,5.2,5.22222222222222,6,4,3,NA,NA,NA
"06",4,3,18,187.828521712333,24196.9364000002,18,5.5,5.4,5.44444444444444,5,4,3,NA,NA,NA
"06",4,4,27,212.609425236184,24198.0404000011,19,3.25,2.6,2.88888888888889,4,4,2,NA,NA,NA
"06",4,5,19,187.527965802305,24198.7808000002,20,5,4.6,4.77777777777778,4,3,3,2,3,4
"06",5,1,18,190.421609106958,24197.8300000002,21,5,4.2,4.55555555555556,5,4,3,NA,NA,NA
"06",5,2,15,178.601430623954,24196.4795999997,22,6.25,6,6.11111111111111,7,4,3,NA,NA,NA
"06",5,3,17,186.408941753237,24198.7120000009,23,5,5.8,5.44444444444444,6,4,3,NA,NA,NA
"06",5,4,17,187.713029678657,24196.6748000006,24,4.5,5.8,5.22222222222222,5,3,3,NA,NA,NA
"06",5,5,20,166.76132926757,24197.3227999989,25,6.25,6.6,6.44444444444444,6,3,3,4,6,4
"06",6,1,15,189.023318915253,24196.4196000004,26,4.5,4.4,4.44444444444444,4,3,3,NA,NA,NA
"06",6,2,18,179.037384528776,24199.2624000001,27,5.5,5.2,5.33333333333333,4,4,3,NA,NA,NA
"06",6,3,19,174.254420814699,24196.406,28,5.25,5.4,5.33333333333333,5,4,3,NA,NA,NA
"06",6,4,18,189.042748337646,24197.3060000001,29,4,4.2,4.11111111111111,5,4,3,NA,NA,NA
"06",6,5,17,176.554916991401,24197.492399999,30,5.25,5.2,5.22222222222222,5,5,4,5,5,5
"06",7,1,13,178.229774808073,24197.8255999999,31,5.5,5.4,5.44444444444444,6,4,3,NA,NA,NA
"06",7,2,19,169.621899234634,24197.0411999981,32,5.5,6.4,6,6,6,5,NA,NA,NA
"06",7,3,15,185.303825756394,24198.3748000002,33,4.75,5.2,5,6,4,3,NA,NA,NA
"06",7,4,12,175.226793753023,24198.5487999988,34,6,6,6,7,4,4,NA,NA,NA
"06",7,5,16,176.039955451183,24198.6059999988,35,5.75,6,5.88888888888889,6,5,4,2,6,3
"06",8,1,14,179.041002815506,24197.0811999992,36,6.5,6,6.22222222222222,6,4,4,NA,NA,NA
"06",8,2,19,177.828535741906,24198.9044000006,37,5.25,5.2,5.22222222222222,6,4,3,NA,NA,NA
"06",8,3,19,171.22636857283,24198.8835999987,38,5.75,7,6.44444444444444,6,4,3,NA,NA,NA
"06",8,4,16,197.734430603681,24198.6775999991,39,3.5,3.8,3.66666666666667,6,3,3,NA,NA,NA
"06",8,5,15,179.489952632795,24198.7412000003,40,5.25,6.4,5.88888888888889,6,4,3,5,6,4
"07",1,1,34,300.097351549456,24197.5488000019,1,4.5,6.2,5.44444444444444,4,2,2,NA,NA,NA
"07",1,2,33,244.340131627709,24196.4716000008,2,4.5,6,5.33333333333333,4,2,2,NA,NA,NA
"07",1,3,31,229.791460241547,24196.4076000017,3,5.25,6,5.66666666666667,5,1,1,NA,NA,NA
"07",1,4,30,239.330573819573,24197.0776000009,4,4.75,5.8,5.33333333333333,5,2,3,NA,NA,NA
"07",1,5,28,214.968433291853,24197.8172000009,5,5,5.8,5.44444444444444,5,2,2,4,4,4
"07",2,1,27,199.568084443947,24196.7171999987,6,4.75,5.2,5,4,2,1,NA,NA,NA
"07",2,2,21,196.943857716611,24196.9059999994,7,4.5,5.8,5.22222222222222,5,1,1,NA,NA,NA
"07",2,3,24,213.524963056748,24198.4884000009,8,4.5,5.6,5.11111111111111,4,2,3,NA,NA,NA
"07",2,4,26,201.282776484368,24198.0815999991,9,4.25,5.4,4.88888888888889,4,1,3,NA,NA,NA
"07",2,5,27,196.977948395745,24197.9755999988,10,5,6.2,5.66666666666667,5,1,1,2,5,4
"07",3,1,25,210.896432921685,24198.4184000004,11,4,4.4,4.22222222222222,3,1,3,NA,NA,NA
"07",3,2,22,189.098852047658,24198.3187999987,12,4.25,5,4.66666666666667,3,2,2,NA,NA,NA
"07",3,3,21,198.224498264564,24196.9188000002,13,4.75,5.4,5.11111111111111,4,1,2,NA,NA,NA
"07",3,4,24,223.16544054902,24197.4184000022,14,3.5,4.6,4.11111111111111,4,2,3,NA,NA,NA
